timestep,weekday,yearday,holiday_-2,holiday_-1,holiday_0,holiday_+1,holiday_+2,resident_pop,tourist_pop,temp_min,temp_max,prec_prob,wind_speed
2238.0,3.0,41.0,0.0,0.0,0.0,0.0,1.0,1225812.044198895,200216.57142857142,8.0,19.0,0.0,1.0
2239.0,4.0,42.0,0.0,0.0,0.0,1.0,1.0,1225857.8453038675,205835.85714285716,11.0,19.0,0.0,1.0
2240.0,5.0,43.0,0.0,0.0,1.0,1.0,0.0,1225903.6464088398,211455.14285714287,13.0,19.0,0.0,0.0
2241.0,6.0,44.0,0.0,1.0,1.0,0.0,0.0,1225949.4475138122,217074.42857142858,7.0,17.0,4.0,1.0
2242.0,0.0,45.0,1.0,1.0,0.0,0.0,0.0,1225995.2486187846,222693.7142857143,9.0,19.0,1.0,2.0
2243.0,1.0,46.0,1.0,0.0,0.0,0.0,0.0,1226041.049723757,228313.0,8.0,17.0,1.0,2.0
2244.0,2.0,47.0,0.0,0.0,0.0,0.0,0.0,1226086.8508287293,233932.28571428574,5.0,14.0,3.0,2.0
2245.0,3.0,48.0,0.0,0.0,0.0,0.0,1.0,1226132.6519337017,239551.57142857142,4.0,12.0,1.0,2.0
2246.0,4.0,49.0,0.0,0.0,0.0,1.0,1.0,1226178.453038674,245170.85714285716,5.0,15.0,1.0,1.0
2247.0,5.0,50.0,0.0,0.0,1.0,1.0,0.0,1226224.2541436465,250790.14285714287,8.0,16.0,1.0,0.0
2248.0,6.0,51.0,0.0,1.0,1.0,0.0,0.0,1226270.0552486188,256409.42857142858,6.0,19.0,1.0,0.0
2249.0,0.0,52.0,1.0,1.0,0.0,0.0,0.0,1226315.8563535912,262028.7142857143,6.0,17.0,1.0,2.0
2250.0,1.0,53.0,1.0,0.0,0.0,0.0,0.0,1226361.6574585636,267648.0,11.0,18.0,3.0,4.0
2251.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,1226407.458563536,273267.28571428574,11.0,19.0,2.0,1.0
2252.0,3.0,55.0,0.0,0.0,0.0,0.0,1.0,1226453.2596685083,278886.5714285714,10.0,18.0,2.0,3.0
2253.0,4.0,56.0,0.0,0.0,0.0,1.0,1.0,1226499.0607734807,284505.85714285716,9.0,18.0,3.0,2.0
2254.0,5.0,57.0,0.0,0.0,1.0,1.0,0.0,1226544.861878453,290125.14285714284,6.0,19.0,1.0,1.0
